X,Y,NAME,ADDRESS,BOROUGH,FACILITY_TYPE,LOCATION_INFO,APPOINTMENT_ONLY,OPERATIONS_MON,OPERATIONS_TUE,OPERATIONS_WED,OPERATIONS_THUR,OPERATIONS_FRI,OPERATIONS_SAT,OPERATIONS_SUN,ADDITIONAL_INFO,APPOINTMENT_INFO,PHONE,URL,START_DATE
988357,149110,NYC Health + Hospitals/Ida G. Israel Community Health Center,2925 West 19th Street,3,H+H community site,,N,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,,,,844-NYC-4NYC,,2020-05-23
999748,178509,NYC Health + Hospitals/Kings County,451 Clarkson Avenue,3,H+H hospital,,N,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,,,,,718-245-3131,https://www.nychealthandhospitals.org/kingscounty/,2020-05-23
1000128,194128,NYC Health + Hospitals/Woodhull,760 Broadway,3,H+H hospital,,N,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,,,,,718-963-8000,https://www.nychealthandhospitals.org/woodhull/,2020-05-23
995881,182075,One Medical: Medgar Edgars College,1650 Bedford Avenue,3,One Medical,,Y,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Walk-up only,Schedule an appointment online at https://www.onemedical.com/covid-19-testing-locations/nyc/ or via phone at 888-663-6331,888-663-6331,https://www.onemedical.com/covid-19-testing-locations/nyc/,2020-05-23
,,Highbridge Pool,2301 Amsterdam Avenue,1,H+H community site,,N,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,,,,,2020-05-23
991083,208423,NYC Health + Hospitals/Bellevue,462 First Avenue,1,H+H hospital,,N,7:30 AM - 3:30 PM,7:30 AM - 3:30 PM,7:30 AM - 3:30 PM,7:30 AM - 3:30 PM,7:30 AM - 3:30 PM,7:30 AM - 3:30 PM,,,,212-562-5555,https://www.nychealthandhospitals.org/bellevue/,2020-05-23
1005638,253025,"NYC Health + Hospitals/Gotham Health, Dyckman",175 Nagle Avenue,1,H+H community site,,N,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,,,,,212-544-2001,,2020-05-23
987636,199113,"NYC Health + Hospitals/Gotham Health, Gouverneur",227 Madison St,1,H+H community site,,N,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 2:00 PM,,,,212-238-7897,https://www.nychealthandhospitals.org/gothamhealth/gouverneur/,2020-05-23
997082,232620,"NYC Health + Hospitals/Gotham Health, Sydenham",264 W 118 Street,1,H+H community site,,N,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,,,,,212-932-6500,https://www.nychealthandhospitals.org/sydenham/,2020-05-23
1000923,235890,NYC Health + Hospitals/Harlem,506 Lenox Avenue,1,H+H hospital,,N,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,,,,,212-939-1000,https://www.nychealthandhospitals.org/harlem/,2020-05-23
999492,225298,NYC Health + Hospitals/Metropolitan,1901 First Avenue,1,H+H hospital,,N,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,,,,212-423-6262,https://www.nychealthandhospitals.org/metropolitan/,2020-05-23
984407,214705,One Medical: Hudson Yards,517 West 35th Street,1,One Medical,,Y,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,,,Walk-up only,Schedule an appointment online at https://www.onemedical.com/covid-19-testing-locations/nyc/ or via phone at 888-663-6331,888-663-6331,https://www.onemedical.com/covid-19-testing-locations/nyc/,2020-05-23
998541,234938,Saint Nicholas Houses,281 West 127th Street,1,H+H community site,,N,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,,,,,,,2020-05-23
1015938,210765,NYC Health + Hospitals/Elmhurst,79-01 Broadway,4,H+H hospital,,N,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,,,718-334-4000,https://www.nychealthandhospitals.org/elmhurst/,2020-05-23
1009050,214070,"NYC Health + Hospitals/Gotham Health, Woodside",50-53 Newtown Road,4,H+H community site,,N,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,9:00 AM - 3:30 PM,,,,,,,2020-05-23
1038224,200842,NYC Health + Hospitals/Queens,82-68 164th Street,4,H+H hospital,,N,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,,,,,718-883-3000,https://www.nychealthandhospitals.org/queens/,2020-05-23
,,One Medical: York College,92-90 165th Street,4,One Medical,Parking Lot,Y,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Drive-through and walk-up,Schedule an appointment online at https://www.onemedical.com/covid-19-testing-locations/nyc/ or via phone at 888-663-6331,888-663-6331,https://www.onemedical.com/covid-19-testing-locations/nyc/,2020-05-23
962823,165188,"NYC Health + Hospitals/Gotham Health, Vanderbilt",165 Vanderbilt Avenue,5,H+H community site,,N,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,,,,,844-692-4692,https://www.nychealthandhospitals.org/vanderbilt/,2020-05-23
956011,173938,One Medical: Snug Harbor,1000 Richmond Terrace,5,One Medical,West entrance parking lot,Y,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Drive-through only,Schedule an appointment online at https://www.onemedical.com/covid-19-testing-locations/nyc/ or via phone at 888-663-6331,888-663-6331,https://www.onemedical.com/covid-19-testing-locations/nyc/,2020-05-23
